judul,isi,kategori
FOTO: Gelar Pahlawan untuk Soeharto dan Marsinah,"Jakarta, CNN Indonesia --
                    Presiden Prabowo Subianto resmi menganugerahkan gelar pahlawan nasional kepada 10 tokoh, termasuk Presiden ke-2 RI Soeharto dan aktivis buruh Marsinah. Bagikan: url telah tercopy",Nasional > Politik
Dwiarso Resmi Jabat Wakil Ketua MA Bidang Non Yudisial,"Jakarta, CNN Indonesia -- Dwiarso Budi Santiarto resmi membacakan sumpah jabatan menjadi Wakil Ketua Mahkamah Agung Bidang Non Yudisial. Pengangkatan dan pengambilan sumpah jabatan itu digelar di Istana Kepresidenan Jakarta dan disaksikan Presiden Prabowo Subianto, pada Senin (10/11). Hal itu tertuang dalam Keputusan Presiden Republik Indonesia No. 101/P Tahun 2025 tentang Pemberhentian dengan Hormat Ketua Muda Pengawasan Mahkamah Agung dan Pengangkatan Wakil Ketua Mahkamah Agung Bidang Non Yudisial. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT ""Demi Allah saya bersumpah bahwa saya akan setia dan memegang teguh Undang-Undang Dasar Negara Republik Indonesia Tahun 1945 serta akan menjalankan segala peraturan perundang-undangan dengan selurus-lurusnya demi darmabakti saya kepada bangsa dan negara. Bahwa saya dalam menjalankan tugas jabatan akan menjunjung tinggi etika jabatan, bekerja dengan sebaik-baiknya, dengan penuh rasa tanggung jawab,"" ucap Dwiarso membaca sumpah. Lihat Juga : MA Anulir Vonis Lepas Terdakwa Korporasi di Kasus CPO Mengutip situs resmi Mahkamah Agung, Dwiarso lahir di Madiun pada 14 Maret 1962. Ia menempuh pendidikan Sarjana Hukum di Universitas Airlangga, Surabaya dan lulus pada tahun 1986. Kariernya dimulai pada tahun 1986 sebagai Calon Hakim di Pengadilan Negeri Surabaya. Setelahnya, ia dipercaya menempati berbagai posisi penting di lingkungan peradilan. Ia pernah menjadi Hakim Pengadilan Negeri Sungguminasa, Hakim Yustisial/Asisten Ketua MA, serta memimpin sejumlah pengadilan negeri di Kotabumi, Kraksaan, Depok, Semarang, dan Jakarta Utara. Kariernya terus menanjak ketika ia menjabat sebagai Hakim Tinggi di Pengadilan Tinggi Denpasar, Hakim Tinggi Badan Pengawasan MA RI, hingga menjadi Inspektur Wilayah IV Bawas MA RI. Kemudian pada 2020, ia dipercaya sebagai Kepala Badan Pengawasan MA RI, lalu diangkat sebagai Hakim Agung Kamar Pidana. Pada 2023, ia menjabat sebagai Ketua Kamar Pengawasan MA RI sebelum akhirnya terpilih sebagai Wakil Ketua MA Bidang Non Yudisial. (mnf/isn) [Gambas:Video CNN]",Nasional > Politik
FOTO: Gelar Pahlawan untuk Soeharto dan Marsinah,"Jakarta, CNN Indonesia --
                    Presiden Prabowo Subianto resmi menganugerahkan gelar pahlawan nasional kepada 10 tokoh, termasuk Presiden ke-2 RI Soeharto dan aktivis buruh Marsinah. Bagikan: url telah tercopy",Nasional > Politik
Dwiarso Resmi Jabat Wakil Ketua MA Bidang Non Yudisial,"Jakarta, CNN Indonesia -- Dwiarso Budi Santiarto resmi membacakan sumpah jabatan menjadi Wakil Ketua Mahkamah Agung Bidang Non Yudisial. Pengangkatan dan pengambilan sumpah jabatan itu digelar di Istana Kepresidenan Jakarta dan disaksikan Presiden Prabowo Subianto, pada Senin (10/11). Hal itu tertuang dalam Keputusan Presiden Republik Indonesia No. 101/P Tahun 2025 tentang Pemberhentian dengan Hormat Ketua Muda Pengawasan Mahkamah Agung dan Pengangkatan Wakil Ketua Mahkamah Agung Bidang Non Yudisial. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT ""Demi Allah saya bersumpah bahwa saya akan setia dan memegang teguh Undang-Undang Dasar Negara Republik Indonesia Tahun 1945 serta akan menjalankan segala peraturan perundang-undangan dengan selurus-lurusnya demi darmabakti saya kepada bangsa dan negara. Bahwa saya dalam menjalankan tugas jabatan akan menjunjung tinggi etika jabatan, bekerja dengan sebaik-baiknya, dengan penuh rasa tanggung jawab,"" ucap Dwiarso membaca sumpah. Lihat Juga : MA Anulir Vonis Lepas Terdakwa Korporasi di Kasus CPO Mengutip situs resmi Mahkamah Agung, Dwiarso lahir di Madiun pada 14 Maret 1962. Ia menempuh pendidikan Sarjana Hukum di Universitas Airlangga, Surabaya dan lulus pada tahun 1986. Kariernya dimulai pada tahun 1986 sebagai Calon Hakim di Pengadilan Negeri Surabaya. Setelahnya, ia dipercaya menempati berbagai posisi penting di lingkungan peradilan. Ia pernah menjadi Hakim Pengadilan Negeri Sungguminasa, Hakim Yustisial/Asisten Ketua MA, serta memimpin sejumlah pengadilan negeri di Kotabumi, Kraksaan, Depok, Semarang, dan Jakarta Utara. Kariernya terus menanjak ketika ia menjabat sebagai Hakim Tinggi di Pengadilan Tinggi Denpasar, Hakim Tinggi Badan Pengawasan MA RI, hingga menjadi Inspektur Wilayah IV Bawas MA RI. Kemudian pada 2020, ia dipercaya sebagai Kepala Badan Pengawasan MA RI, lalu diangkat sebagai Hakim Agung Kamar Pidana. Pada 2023, ia menjabat sebagai Ketua Kamar Pengawasan MA RI sebelum akhirnya terpilih sebagai Wakil Ketua MA Bidang Non Yudisial. (mnf/isn) [Gambas:Video CNN]",Nasional > Politik
Keluarga Cendana Usai Soeharto Pahlawan Nasional: Terima Kasih Prabowo,"Jakarta, CNN Indonesia -- Putra Presiden ke-2 RI Soeharto, Bambang Trihatmodjo mengucapkan terima kasih kepada Presiden RI Prabowo Subianto usai ayahanda diberikan gelar pahlawan nasional. Ia menyampaikan itu usai menghadiri prosesi penganugerahan gelar pahlawan nasional di Istana Negara, Jakarta, Senin (10/11) hari ini. ""Kami sekeluarga merasa bersyukur. Terima kasih kepada Allah Subhanahu Wa Ta'ala , terima kasih kepada Presiden Prabowo, terima kasih kepada rakyat Indonesia,"" kata Bambang di Istana Kepresidenan Jakarta, Senin (10/11). ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Bambang juga merespons atas baru ditetapkannya Soeharto sebagai pahlawan nasional di era Prabowo. Padahal, Soeharto telah diusulkan menjadi pahlawan nasional sejak era SBY dan berlanjut di era Jokowi. Pilihan Redaksi Daftar Lengkap 10 Tokoh yang Dapat Gelar Pahlawan Nasional Tahun Ini Tutut soal Pro Kontra Soeharto Pahlawan Nasional: Rakyat Makin Pintar Tangis Haru Keluarga Usai Marsinah Dianugerahi Gelar Pahlawan Nasional ""Ya kan itu kan melalui proses kita. Kita mengikuti saja,"" ucapnya. Pada saat yang sama, Siti Hardiyanti Rukmana alias Tutut Soeharto yang hadir bersama Bambang turut merespons pro kontra penetapan ayahandanya menjadi pahlawan nasional. Ia mengatakan saat ini masyarakat sudah pintar dan bisa menilai sendiri. ""Saya rasa rakyat sudah makin pintar, apalagi wartawan, pintar-pintar kabeh (semua), bisa melihat apa yang bapak lakukan, bisa menilai sendiri. Kami tidak perlu membela diri atau bagaimana tapi semua sudah terlihat kok, enggak ada yang ditutupi,"" kata Tutut. Ia juga menganggap pro dan kontra atas isu ini merupakan hal yang wajar dalam kehidupan berdemokrasi. Namun, Tutut tetap meminta seluruh pihak untuk melihat jasa-jasa Soeharto selama memimpin Indonesia 32 tahun lamanya. (mnf/isn) [Gambas:Video CNN]",Nasional > Politik
Tutut soal Pro Kontra Soeharto Pahlawan Nasional: Rakyat Makin Pintar,"Jakarta, CNN Indonesia -- Ahli waris Presiden ke-2 RI Soeharto merespons pro kontra penetapan penguasa 32 tahun Orde Baru (Orba) itu menjadi pahlawan nasional . Putri Soeharto, Siti Hardiyanti Rukmana alias Tutut Soeharto mengatakan saat ini masyarakat sudah pintar dan bisa menilai sendiri. ""Saya rasa rakyat sudah makin pintar, mas, apalagi wartawan, pintar-pintar kabeh , bisa melihat apa yang bapak lakukan, bisa menilai sendiri. Kami tidak perlu membela diri atau bagaimana tapi semua sudah terlihat kok, enggak ada yang ditutupi,"" kata Tutut di Istana Kepresidenan Jakarta, Senin (10/11). ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Ia pun menganggap pro dan kontra atas isu ini merupakan hal yang wajar dalam kehidupan berdemokrasi. Lihat Juga : Daftar Lengkap 10 Tokoh yang Dapat Gelar Pahlawan Nasional Tahun Ini Namun, ia tetap meminta seluruh pihak untuk melihat jasa-jasa Soeharto selama memimpin Indonesia 32 tahun lamanya. Ia pun mengatakan seluruh perjuangan Soeharto sejak muda hingga wafat pada 2009 silam semata-mata untuk kepentingan bangsa. ""Jadi boleh-boleh saja kok kontra tapi juga jangan ekstrem gitu, yang penting kita jaga kesatuan dan persatuan,"" ujarnya. Pada saat yang sama, ahli waris Soeharto juga menyampaikan rasa terima kasih kepada pemerintah atas diberikannya gelar pahlawan nasional kepada Soeharto. Soeharto resmi ditetapkan sebagai pahlawan nasional pada Senin (10/11) hari ini. Ia ditetapkan bersama sembilan tokoh lainnya. Salah satunya Presiden ke-4 RI Abdurrahman Wahid alias Gus Dur. Lalu mantan Menlu sekaligus Rektor Universitas Padjadjaran Mochtar Kusumaatmadja dan aktivis dan tokoh buruh era Orde Baru Marsinah. Lihat Juga : BREAKING NEWS Prabowo Resmi Beri Gelar Pahlawan Nasional untuk Soeharto (mnf/dal) [Gambas:Video CNN]",Nasional > Politik
Kiai Terkemuka Syaikhona Kholil Bangkalan Turut Jadi Pahlawan Nasional,"Jakarta, CNN Indonesia -- Tokoh ulama asal Bangkalan, Madura, Syaikhona Muhammad Kholil resmi ditetapkan oleh Presiden Prabowo Subianto sebagai pahlawan nasional di Istana Kepresidenan, Jakarta, Senin (10/11). Penetapan Syaikhona Kholil sebagai pahlawan nasional bersamaan dengan peringatan Hari Pahlawan. Nama Syaikhona Kholil sudah diusulkan sebagai pahlawan nasional sejak lima tahun silam. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Ia dinilai menjadi simpul dari pergerakan Islam Nusantara dan penguatan nasionalisme di abad 1800-an. Syaikhona Kholil dianggap berkontribusi dalam gerakan nasionalisme dengan aktif memberdayakan masyarakat dalam bidang agama, pendidikan, sosial kemasyarakatan dan politik. Hal itu kemudian menjadi pemantik utama para santri membangkitkan kesadaran politik dan jejaring Islam, yang kemudian menjadi embrio lahirnya gerakan kultural untuk memerangi kolonialisme di Nusantara. ""Syaikhona Kholil menjadi titik sentral penempaan dan pembibitan para calon pejuang dan pahlawan. Hal ini tidak terbantahkan dalam fakta sejarah,"" kata Ketua Tim Kajian Akademik dan Biografi Syaikhona Kholil, Dr Muhaimin, di Surabaya, pada 22 Maret 2021. Lihat Juga : Daftar Lengkap 10 Tokoh yang Dapat Gelar Pahlawan Nasional Tahun Ini Santri-santri binaan Syaikhona Kholil hampir seluruhnya menjadi pejuang. Beberapa di antaranya adalah KH Hasyim Asy'ari, KH Wahab Hasbullah dan KH Bisri Syamsuri. Atas pemikiran Syaikhona Kholil dan restunya, ketiganya kemudian mendirikan Nahdlatul Ulama. Dua nama pertama juga telah ditetapkan menjadi pahlawan nasional. ""Santri-santri alumni didikan Syaikhona Kholil Bangkalan lah yang menerjemahkan pemikiran dan gerakan sang guru,"" kata dia. Usulan gelar pahlawan nasional untuk Syaikhona Kholil ini salah satunya juga diutarakan oleh Partai Nasional Demokrat (NasDem). NasDem ingin pemerintah memberikan penghargaan bagi guru para pahlawan tersebut. Ketua Bidang Agama & Masyarakat Adat DPP Partai NasDem, Hasan Aminuddin mengatakan usulan gelar pahlawan untuk Syaikhona Kholil ini telah dicetuskan oleh NasDem 10 tahun lalu. Sebagaimana keinginan Surya Paloh. ""Pak Surya berpesan, saatnya beliau ini, almarhum ini kita angkat, Mas Hasan. [Syaikhona Kholil] kita perjuangkan, menjadi pahlawan nasional,"" kata Hasan, kata Mantan Bupati Probolinggo ini. Melalui perwakilannya di DPR RI dan MPR RI, NasDem pun telah resmi mengusulkan nama Syaikhona Kholil ke Kementerian Sosial untuk segera mendapatkan gelar pahlawan. Hal itu mulai dilakukan sejak 2019 silam. ""Berdasarkan aspirasi yang cukup kuat, dan sejarah membuktikan, bahwa Syaikhona Kholil ini gurunya para pahlawan dan gurunya para wali,"" ucapnya. Sejarah, kata dia, telah membuktikan, bahwa tidak sedikit para kiai dan pengasuh pondok pesantren di Jawa Timur dan Jawa Tengah, adalah santri Syaikhona Kholil. (mnf/gil) [Gambas:Video CNN]",Nasional > Politik
Prabowo Resmi Beri Gelar Pahlawan Nasional untuk Soeharto,"Jakarta, CNN Indonesia -- Presiden ke-2 RI Soeharto resmi mendapatkan gelar pahlawan nasional dari Presiden Prabowo Subianto pada Senin (10/11) hari ini. Prosesi digelar bertepatan dengan Hari Pahlawan Nasional pada hari ini. Prabowo menyerahkan langsung secara simbolis gelar pahlawan nasional ini ke putra ke-3 Soeharto, Bambang Trihatmodjo. Turut hadir anak Soeharto yang lain, Siti Hardijanti atau Tutut Soeharto. Gelar pahlawan nasional ini diberikan sesuai dengan Keputusan Presiden (Keppres) Nomor 116/TK Tahun 2025 tentang Penganugerahan Gelar Pahlawan Nasional. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Lihat Juga : Prabowo Umumkan 10 Pahlawan Nasional Termasuk Soeharto Hari Ini Soeharto menjabat sebagai Presiden RI selama 32 tahun. Kepemimpinannya dimulai ditandai dengan surat perintah 11 Maret 1966 hingga pecahnya reformasi pada 1998. Soeharto ditetapkan sebagai pahlawan nasional bersama sembilan tokoh lain pada hari ini. Beberapa di antaranya ialah Presiden ke-4 Abdurrachman Wahid alias Gus Dur, tokoh Nahdlatul Ulama Muhammad Kholil, dan aktivis dan tokoh buruh era Orde Baru Marsinah. Pada prosesnya, penetapan Soeharto menjadi pahlawan ini menuai pro dan kontra di tengah masyarakat. Hal ini berkaitan dengan dugaan pelanggaran HAM berat, otoritarianisme, dan dugaan maraknya korupsi, kolusi, dan nepotisme selama rezim Soeharto. Lihat Juga : Istana Ungkap Alasan Soeharto Resmi Dapat Gelar Pahlawan Nasional Salah satunya dari Gerakan Masyarakat Sipil Adili Soeharto (GEMAS) yang menyatakan usulan itu merupakan langkah yang mengecewakan. ""Hari ini Kemensos lewat menterinya juga sudah mengirimkan usulan nama yang diserahkan kepada Dewan Gelar, Tanda Jasa, dan Tanda Kehormatan. Tentu ini sebuah langkah yang mengecewakan tapi juga tidak mengagetkan,"" ujar Koordinator KontraS Dimas Bagus Arya selaku perwakilan dari koalisi saat dihubungi, Selasa (21/10). Kritik juga datang dari Mustasyar Pengurus Besar Nahdlatul Ulama KH Ahmad Mustofa Bisri alias Gus Mus yang menolak itu. Ia menceritakan banyak ulama pesantren dan NU diperlakukan tidak adil selama Soeharto berkuasa. ""Saya paling tidak setuju kalau Soeharto dijadikan Pahlawan Nasional,"" kata Gus Mus di kediamannya di Leteh, Rembang, Jawa Tengah, dilansir dari NU Online, Minggu (9/11). Lihat Juga : Gus Ipul Soal Polemik Gelar Pahlawan: Soeharto Memenuhi Syarat (mnf/dal)",Nasional > Politik
Gus Dur Resmi Ditetapkan Jadi Pahlawan Nasional,"Jakarta, CNN Indonesia -- Presiden ke-4 RI Abdurrahman Wahid alias Gus Dur resmi mendapatkan gelar pahlawan nasional dari Presiden Prabowo Subianto pada Senin (10/11) hari ini. Prosesi digelar bertepatan dengan Hari Pahlawan Nasional pada hari ini. Istri Gus Dur Sinta Nur Wahid dan keluarga mewakili pihak keluarga menerima gelar dari pemerintah. Sekretaris Militer Presiden menyatakan penetapan pahlawan nasional ini berdasarkan Keppres No 116/TK Tahun 2025 tentang Penganugerahan Gelar Pahlawan Nasional. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Lihat Juga : Prabowo Umumkan 10 Pahlawan Nasional Termasuk Soeharto Hari Ini Gus Dur menjabat sebagai Presiden ke-4 RI usai terpilih melalui mekanisme pemilihan di MPR pada 1999 sampai dimakzulkan pada Juli 2001 silam. Selain menjabat sebagai presiden, Gus Dur merupakan kyai pentolan Nahdlatul Ulama. Gus Dur merupakan cucu pendiri NU KH Hasyim Asyari dan anak dari Wahid Hasyim. Gus Dur juga pernah menjabat sebagai Ketua Umum PBNU. Gus Dur dijuluki sebagai bapak pluralisme Indonesia. Salah satunya karena kebijakannya bagi etnis Tionghoa. Lihat Juga : Jokowi Dukung Soeharto dan Gus Dur Jadi Pahlawan Nasional Saat menjabat sebagai presiden, Gus Dur mencabut Instruksi Presiden No. 14 Tahun 1967 pada era Presiden Soeharto yang melarang perayaan Imlek. Gus Dur ditetapkan sebagai pahlawan nasional bersama sembilan tokoh lain pada hari ini. Beberapa di antaranya ialah Presiden ke-2 Soeharto, mantan Menlu sekaligus Rektor Universitas Padjadjaran Mochtar Kusumaatmadja, dan aktivis dan tokoh buruh era Orde Baru Marsinah. Lihat Juga : GEMAS Sentil Mensos: Usulan Soeharto Pahlawan Nasional Mengecewakan (mnf/dal)",Nasional > Politik
Aktivis Buruh Marsinah Resmi Jadi Pahlawan Nasional,"Jakarta, CNN Indonesia -- Aktivis dan buruh pabrik arloji, Marsinah resmi ditetapkan sebagai pahlawan nasional pada Senin (10/11) hari ini. Prosesi penetapan pahlawan nasional digelar bertepatan dengan Hari Pahlawan Nasional di Istana Kepresidenan, Jakarta pada hari ini. Keluarga Marsinah turut hadir ke Istana Kepresidenan untuk menerima gelar dari pemerintah. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Sekretaris Militer Presiden menyatakan penetapan pahlawan nasional ditetapkan berdasarkan Keppres No 116/TK Tahun 2025 tentang Penganugerahan Gelar Pahlawan Nasional. Lihat Juga : Gus Mus Kritik Rencana Pemberian Gelar Pahlawan Nasional Soeharto Marsinah ditetapkan sebagai pahlawan nasional bersama Presiden ke-2 RI Soeharto yang saat itu menjabat sebagai presiden saat Marsinah terbunuh. Selain Marsinah dan Soeharto, delapan tokoh lainnya turut ditetapkan sebagai pahlawan nasional. Beberapa di antaranya ialah Presiden ke-4 RI Abdurrahman Wahid alias Gus Dur dan eks Menlu sekaligus Rektor Universitas Padjadjaran Mochtar Kusumaatmadja. Marsinah merupakan aktivis dan buruh pabrik arloji di era Orde Baru. Ia menjadi buruh di Sidoarjo, kemudian diculik dan terbunuh pada 8 Mei 1993 setelah hilang selama tiga hari. Jenazah Marsinah ditemukan di hutan dengan tanda-tanda bekas siksaan berat. Kasus ini lalu menjadi catatan Organisasi Buruh Internasional (ILO), dikenal sebagai kasus 1773. Namanya pertama kali mencuat diusulkan menyandang gelar pahlawan nasional pada Hari Buruh 1 Mei 2025 lalu. Saat itu, Presiden RI Prabowo Subianto mendukung usulan yang mendorong Marsinah dijadikan pahlawan nasional. ""Saya akan mendukung Marsinah jadi pahlawan nasional,"" ucap Prabowo. (mnf/gil) [Gambas:Video CNN]",Nasional > Politik
